identifier,preflabel,altLabel,deprecated,uri
SDN:P06::MLKG,Moles per kilogram,mol/kg,false,http://vocab.nerc.ac.uk/collection/P06/current/MLKG/
SDN:P06::KGS2,Kilograms squared per second squared,kg^2/s^2,false,http://vocab.nerc.ac.uk/collection/P06/current/KGS2/
SDN:P06::KGXX,Kilograms,kg,false,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/
SDN:P06::UPSS,per second squared,/s^2,false,http://vocab.nerc.ac.uk/collection/P06/current/UPSS/
SDN:P06::PASS,Pascal seconds,Pa.s,false,http://vocab.nerc.ac.uk/collection/P06/current/PASS/
SDN:P06::WM2M,Watts per square metre per metre,W/m^2/m,false,http://vocab.nerc.ac.uk/collection/P06/current/WM2M/
SDN:P06::JMSQ,Joules per square metre,J/m^2,false,http://vocab.nerc.ac.uk/collection/P06/current/JMSQ/
SDN:P06::MCUB,Cubic metres,m^3,false,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
SDN:P06::MLM2,Moles per square metre,mol/m^2,false,http://vocab.nerc.ac.uk/collection/P06/current/MLM2/
SDN:P06::UPAA,Degrees Celsius,degC,false,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
SDN:P06::PAMS,Pascal metres per second,Pa.m/s,false,http://vocab.nerc.ac.uk/collection/P06/current/PAMS/
SDN:P06::M2MM,Moles per square metre per second per metre,mol/m^2/s/m,false,http://vocab.nerc.ac.uk/collection/P06/current/M2MM/
SDN:P06::PMSQ,per square metre,/m^2,false,http://vocab.nerc.ac.uk/collection/P06/current/PMSQ/
SDN:P06::UGMC,Grams per cubic metre,g/m^3,false,http://vocab.nerc.ac.uk/collection/P06/current/UGMC/
SDN:P06::UPCT,Percent,%,false,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
SDN:P06::UPCT,Percent,%,false,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
SDN:P06::UPCT,Percent,%,false,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
SDN:P06::UPCT,Percent,%,false,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
SDN:P06::UPCT,Percent,%,false,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
SDN:P06::PAPM,Pascals per metre,Pa/m,false,http://vocab.nerc.ac.uk/collection/P06/current/PAPM/
SDN:P06::WAPK,Watts per metre per Kelvin,W/m/K,false,http://vocab.nerc.ac.uk/collection/P06/current/WAPK/
SDN:P06::M4S1,Metres to the power four per second,m^4/s,false,http://vocab.nerc.ac.uk/collection/P06/current/M4S1/
SDN:P06::M2SX,Square metre seconds,m^2.s,false,http://vocab.nerc.ac.uk/collection/P06/current/M2SX/
SDN:P06::DGPM,Degrees per metre,deg/m,false,http://vocab.nerc.ac.uk/collection/P06/current/DGPM/
SDN:P06::PAM2,Pascal metres per second squared,Pa.m/s^2,false,http://vocab.nerc.ac.uk/collection/P06/current/PAM2/
SDN:P06::JKGK,Joules per kilogram per Kelvin,J/kg/K,false,http://vocab.nerc.ac.uk/collection/P06/current/JKGK/
SDN:P06::URAD,Radians,rad,false,http://vocab.nerc.ac.uk/collection/P06/current/URAD/
SDN:P06::M3PS,per cubic metre per second,/m^3/s,false,http://vocab.nerc.ac.uk/collection/P06/current/M3PS/
SDN:P06::UMBQ,Millibecquerels per litre,mBq/l,false,http://vocab.nerc.ac.uk/collection/P06/current/UMBQ/
SDN:P06::WSMM,Watt seconds per square metre,W.s/m^2,false,http://vocab.nerc.ac.uk/collection/P06/current/WSMM/
SDN:P06::JPKG,Joules per kilogram,J/kg,false,http://vocab.nerc.ac.uk/collection/P06/current/JPKG/
SDN:P06::UDBL,Decibels,dB,false,http://vocab.nerc.ac.uk/collection/P06/current/UDBL/
SDN:P06::M2SR,Moles per square metre per second per metre per steradian,mol/m^2/s/m/sr,false,http://vocab.nerc.ac.uk/collection/P06/current/M2SR/
SDN:P06::SCPM,Seconds per metre,s/m,false,http://vocab.nerc.ac.uk/collection/P06/current/SCPM/
SDN:P06::DGPS,Degrees per second,deg/s,false,http://vocab.nerc.ac.uk/collection/P06/current/DGPS/
SDN:P06::KSXX,Kelvin second,K.s,false,http://vocab.nerc.ac.uk/collection/P06/current/KSXX/
SDN:P06::KMTX,Kelvin metres,K.m,false,http://vocab.nerc.ac.uk/collection/P06/current/KMTX/
SDN:P06::UPMS,Number per square metre,#/m^2,false,http://vocab.nerc.ac.uk/collection/P06/current/UPMS/
SDN:P06::MPMX,Moles per mole,mol/mol,false,http://vocab.nerc.ac.uk/collection/P06/current/MPMX/
SDN:P06::M2RD,Square metre seconds per radian,m2.s/rad,false,http://vocab.nerc.ac.uk/collection/P06/current/M2RD/
SDN:P06::PAMT,Pascal metres,Pa.m,false,http://vocab.nerc.ac.uk/collection/P06/current/PAMT/
SDN:P06::WMSW,Watts per square metre per inverse metre per steradian,W/m^2/m^-1/sr,false,http://vocab.nerc.ac.uk/collection/P06/current/WMSW/
SDN:P06::KPAS,Kelvin Pascals per second,K.Pa/s,false,http://vocab.nerc.ac.uk/collection/P06/current/KPAS/
SDN:P06::DKM2,Degrees Celsius kilogram per square metre,degC.kg/m^2,false,http://vocab.nerc.ac.uk/collection/P06/current/DKM2/
SDN:P06::UPMM,Number per cubic metre,#/m^3,false,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/
SDN:P06::KPMT,Kelvins per metre,K/m,false,http://vocab.nerc.ac.uk/collection/P06/current/KPMT/
SDN:P06::KMSS,Kelvin square metres per kilogram per second,K.m^2/kg/s,false,http://vocab.nerc.ac.uk/collection/P06/current/KMSS/
SDN:P06::DEGN,Degrees north,degree_north,false,http://vocab.nerc.ac.uk/collection/P06/current/DEGN/
SDN:P06::MCS2,Cubic metres per second squared,m^3/s^2,false,http://vocab.nerc.ac.uk/collection/P06/current/MCS2/
SDN:P06::JOUL,Joule,J,false,http://vocab.nerc.ac.uk/collection/P06/current/JOUL/
SDN:P06::SQM3,Square metres per second cubed,m^2/s^3,false,http://vocab.nerc.ac.uk/collection/P06/current/SQM3/
SDN:P06::UPPT,Parts per thousand,ppt,false,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/
SDN:P06::NTPM,Newtons per metre,N/m,false,http://vocab.nerc.ac.uk/collection/P06/current/NTPM/
SDN:P06::PMPS,per metre per second,/m/s,false,http://vocab.nerc.ac.uk/collection/P06/current/PMPS/
SDN:P06::UWCM,Watts per cubic metre,W/m^3,false,http://vocab.nerc.ac.uk/collection/P06/current/UWCM/
SDN:P06::UECA,Siemens per metre,S/m,false,http://vocab.nerc.ac.uk/collection/P06/current/UECA/
SDN:P06::PPS2,Pascal squared per second squared,Pa^2/s^2,false,http://vocab.nerc.ac.uk/collection/P06/current/PPS2/
SDN:P06::UYRS,Years,yr,false,http://vocab.nerc.ac.uk/collection/P06/current/UYRS/
SDN:P06::PPPS,per Pascal per second,/Pa/s,false,http://vocab.nerc.ac.uk/collection/P06/current/PPPS/
SDN:P06::UDBZ,Decibels of Z,dBZ,false,http://vocab.nerc.ac.uk/collection/P06/current/UDBZ/
SDN:P06::KLSQ,Kelvin squared,K^2,false,http://vocab.nerc.ac.uk/collection/P06/current/KLSQ/
SDN:P06::WAPM,Watts per metre,W/m,false,http://vocab.nerc.ac.uk/collection/P06/current/WAPM/
SDN:P06::WPKG,Watts per kilogram,W/kg,false,http://vocab.nerc.ac.uk/collection/P06/current/WPKG/
SDN:P06::UUKG,Micrograms per kilogram,ug/kg,false,http://vocab.nerc.ac.uk/collection/P06/current/UUKG/
SDN:P06::UPOX,Micromoles per litre,umol/l,false,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/
SDN:P06::KGUM,Micromoles per kilogram,umol/kg,false,http://vocab.nerc.ac.uk/collection/P06/current/KGUM/
SDN:P06::UMMC,Milligrams per cubic metre,mg/m^3,false,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/
SDN:P06::USTU,Nephelometric Turbidity Units,NTU,false,http://vocab.nerc.ac.uk/collection/P06/current/USTU/
SDN:P06::UNGL,Nanograms per litre,ng/l,false,http://vocab.nerc.ac.uk/collection/P06/current/UNGL/
SDN:P06::UWNS,Watts per square metre per nanometre per steradian,W/m^2/nm/sr,false,http://vocab.nerc.ac.uk/collection/P06/current/UWNS/
SDN:P06::UCML,Number per millilitre,#/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UCML/
SDN:P06::UCML,Number per millilitre,#/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UCML/
SDN:P06::UCML,Number per millilitre,#/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UCML/
SDN:P06::UCML,Number per millilitre,#/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UCML/
SDN:P06::UCML,Number per millilitre,#/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UCML/
SDN:P06::UCML,Number per millilitre,#/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UCML/
SDN:P06::UCML,Number per millilitre,#/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UCML/
SDN:P06::UCML,Number per millilitre,#/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UCML/
SDN:P06::UCML,Number per millilitre,#/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UCML/
SDN:P06::UCML,Number per millilitre,#/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UCML/
SDN:P06::UCML,Number per millilitre,#/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UCML/
SDN:P06::UCML,Number per millilitre,#/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UCML/
SDN:P06::UCML,Number per millilitre,#/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UCML/
SDN:P06::UCML,Number per millilitre,#/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UCML/
SDN:P06::UCML,Number per millilitre,#/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UCML/
SDN:P06::UCML,Number per millilitre,#/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UCML/
SDN:P06::UCML,Number per millilitre,#/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UCML/
SDN:P06::UCML,Number per millilitre,#/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UCML/
SDN:P06::ULKM,Kilometres,km,false,http://vocab.nerc.ac.uk/collection/P06/current/ULKM/
SDN:P06::GPHT,Grams per hectare,g/ha,false,http://vocab.nerc.ac.uk/collection/P06/current/GPHT/
SDN:P06::UMMS,Milligrams per square metre,mg/m^2,false,http://vocab.nerc.ac.uk/collection/P06/current/UMMS/
SDN:P06::KGAK,Kilograms per square kilometre,kg/km^2,false,http://vocab.nerc.ac.uk/collection/P06/current/KGAK/
SDN:P06::GPKM,Grams per square kilometre,g/km^2,false,http://vocab.nerc.ac.uk/collection/P06/current/GPKM/
SDN:P06::DEGF,Degrees Fahrenheit,degF,false,http://vocab.nerc.ac.uk/collection/P06/current/DEGF/
SDN:P06::UABB,Degrees True,deg T,false,http://vocab.nerc.ac.uk/collection/P06/current/UABB/
SDN:P06::KGNM,Nanomoles per kilogram,nmol/kg,false,http://vocab.nerc.ac.uk/collection/P06/current/KGNM/
SDN:P06::ATKG,Atoms per kilogram,at/kg,false,http://vocab.nerc.ac.uk/collection/P06/current/ATKG/
SDN:P06::KGPM,Picomoles per kilogram,pmol/kg,false,http://vocab.nerc.ac.uk/collection/P06/current/KGPM/
SDN:P06::FMKG,Femtomoles per kilogram,fmol/kg,false,http://vocab.nerc.ac.uk/collection/P06/current/FMKG/
SDN:P06::MMKG,Millimoles per kilogram,mmol/kg,false,http://vocab.nerc.ac.uk/collection/P06/current/MMKG/
SDN:P06::UEQL,MicroEquivalents per litre,uEquiv/l,false,http://vocab.nerc.ac.uk/collection/P06/current/UEQL/
SDN:P06::UPNM,Nanomoles per litre,nmol/l,false,http://vocab.nerc.ac.uk/collection/P06/current/UPNM/
SDN:P06::CMUM,Micromoles per cubic metre,umol/m^3,false,http://vocab.nerc.ac.uk/collection/P06/current/CMUM/
SDN:P06::MMPL,Millimoles per litre,mmol/l,false,http://vocab.nerc.ac.uk/collection/P06/current/MMPL/
SDN:P06::MPLT,Moles per litre,mol/l,false,http://vocab.nerc.ac.uk/collection/P06/current/MPLT/
SDN:P06::UPML,Picomoles per litre,pmol/l,false,http://vocab.nerc.ac.uk/collection/P06/current/UPML/
SDN:P06::UPMA,Picomoles per cubic metre,pmol/m^3,false,http://vocab.nerc.ac.uk/collection/P06/current/UPMA/
SDN:P06::UPFM,Femtomoles per litre,fmol/l,false,http://vocab.nerc.ac.uk/collection/P06/current/UPFM/
SDN:P06::MMCM,Millimoles per cubic metre,mmol/m^3,false,http://vocab.nerc.ac.uk/collection/P06/current/MMCM/
SDN:P06::UMGL,Milligrams per litre,mg/l,false,http://vocab.nerc.ac.uk/collection/P06/current/UMGL/
SDN:P06::UPTH,Parts per thousand per hour,ppt/h,false,http://vocab.nerc.ac.uk/collection/P06/current/UPTH/
SDN:P06::UPDY,per day,/d,false,http://vocab.nerc.ac.uk/collection/P06/current/UPDY/
SDN:P06::PMSC,per millisecond,/ms,false,http://vocab.nerc.ac.uk/collection/P06/current/PMSC/
SDN:P06::UCPS,Counts per second,counts/s,false,http://vocab.nerc.ac.uk/collection/P06/current/UCPS/
SDN:P06::XXPY,per year,/yr,false,http://vocab.nerc.ac.uk/collection/P06/current/XXPY/
SDN:P06::NOPH,Number per hour,#/h,false,http://vocab.nerc.ac.uk/collection/P06/current/NOPH/
SDN:P06::BQ11,Becquerels,Bq,false,http://vocab.nerc.ac.uk/collection/P06/current/BQ11/
SDN:P06::UGCC,Grams per cubic centimetre,g/cm^3,false,http://vocab.nerc.ac.uk/collection/P06/current/UGCC/
SDN:P06::WXCC,Micrograms per five cubic centimetres,ug/5cm^3,false,http://vocab.nerc.ac.uk/collection/P06/current/WXCC/
SDN:P06::UGPL,Micrograms per litre,ug/l,false,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/
SDN:P06::GPRL,Grams per litre,g/l,false,http://vocab.nerc.ac.uk/collection/P06/current/GPRL/
SDN:P06::NGML,Nanograms per millilitre,ng/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/NGML/
SDN:P06::MCUG,Micrograms per cubic metre,ug/m^3,false,http://vocab.nerc.ac.uk/collection/P06/current/MCUG/
SDN:P06::XGCC,Micrograms per cubic centimetre,ug/cm^3,false,http://vocab.nerc.ac.uk/collection/P06/current/XGCC/
SDN:P06::UUGS,Micrograms per millilitre,ug/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/
SDN:P06::UNUL,Nanograms per microlitre,ng/ul,false,http://vocab.nerc.ac.uk/collection/P06/current/UNUL/
SDN:P06::PGPL,Picograms per litre,pg/l,false,http://vocab.nerc.ac.uk/collection/P06/current/PGPL/
SDN:P06::FGPL,Femtograms per litre,fg/l,false,http://vocab.nerc.ac.uk/collection/P06/current/FGPL/
SDN:P06::MPM3,Millilitres per cubic metre,ml/m^3,false,http://vocab.nerc.ac.uk/collection/P06/current/MPM3/
SDN:P06::NCM3,Number per cubic centimetre,#/cm^3,false,http://vocab.nerc.ac.uk/collection/P06/current/NCM3/
SDN:P06::UGPG,Picograms,pg,false,http://vocab.nerc.ac.uk/collection/P06/current/UGPG/
SDN:P06::FMTG,Femtograms,fg,false,http://vocab.nerc.ac.uk/collection/P06/current/FMTG/
SDN:P06::MTON,Tonnes,t,false,http://vocab.nerc.ac.uk/collection/P06/current/MTON/
SDN:P06::UNPI,Nanograms,ng,false,http://vocab.nerc.ac.uk/collection/P06/current/UNPI/
SDN:P06::UGUG,Micrograms,ug,false,http://vocab.nerc.ac.uk/collection/P06/current/UGUG/
SDN:P06::MGRM,Milligrams,mg,false,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/
SDN:P06::UGRM,Grams,g,false,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
SDN:P06::CUPL,Cubic micrometres per litre,um^3/l,false,http://vocab.nerc.ac.uk/collection/P06/current/CUPL/
SDN:P06::UUML,Microlitres per litre,ul/l,false,http://vocab.nerc.ac.uk/collection/P06/current/UUML/
SDN:P06::CMCM,Cubic millimetres per cubic metre,mm^3/m^3,false,http://vocab.nerc.ac.uk/collection/P06/current/CMCM/
SDN:P06::UCCM,Cubic microns per cubic metre,um^3/m^3,false,http://vocab.nerc.ac.uk/collection/P06/current/UCCM/
SDN:P06::UMLL,Millilitres per litre,ml/l,false,http://vocab.nerc.ac.uk/collection/P06/current/UMLL/
SDN:P06::UCUM,Cubic microns per millilitre,um^3/ml,false,http://vocab.nerc.ac.uk/collection/P06/current/UCUM/
SDN:P06::UFNU,Formazin Nephelometric Units,FNU,false,http://vocab.nerc.ac.uk/collection/P06/current/UFNU/
SDN:P06::MBYT,Megabytes,MByte,false,http://vocab.nerc.ac.uk/collection/P06/current/MBYT/
SDN:P06::UPPB,Parts per billion,ppb,false,http://vocab.nerc.ac.uk/collection/P06/current/UPPB/
SDN:P06::UPPM,Parts per million,ppm,false,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/
SDN:P06::UCNT,Counts,counts,false,http://vocab.nerc.ac.uk/collection/P06/current/UCNT/
SDN:P06::PPTR,Parts per trillion,pptr,false,http://vocab.nerc.ac.uk/collection/P06/current/PPTR/
SDN:P06::UPPE,Parts per ten thousand,pptt,false,http://vocab.nerc.ac.uk/collection/P06/current/UPPE/
SDN:P06::UFFU,Fluorescein Fluorescence Units,FFU,false,http://vocab.nerc.ac.uk/collection/P06/current/UFFU/
SDN:P06::UUPH,pH units,pH units,false,http://vocab.nerc.ac.uk/collection/P06/current/UUPH/
SDN:P06::BYTE,Bytes,Bytes,false,http://vocab.nerc.ac.uk/collection/P06/current/BYTE/
SDN:P06::PSUX,Practical salinity units,PSU,false,http://vocab.nerc.ac.uk/collection/P06/current/PSUX/
SDN:P06::NTML,Nautical miles,Nm,false,http://vocab.nerc.ac.uk/collection/P06/current/NTML/
SDN:P06::UXNM,Nanometres,nm,false,http://vocab.nerc.ac.uk/collection/P06/current/UXNM/
SDN:P06::UXMM,Millimetres,mm,false,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
SDN:P06::ULCM,Centimetres,cm,false,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
SDN:P06::UMIC,Micrometres (microns),um,false,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/
SDN:P06::ULDM,Decimetres,dm,false,http://vocab.nerc.ac.uk/collection/P06/current/ULDM/
SDN:P06::PGKG,Picograms per kilogram,pg/kg,false,http://vocab.nerc.ac.uk/collection/P06/current/PGKG/
SDN:P06::GPRG,Grams per gram,g/g,false,http://vocab.nerc.ac.uk/collection/P06/current/GPRG/
SDN:P06::FGKG,Femtograms per kilogram,fg/kg,false,http://vocab.nerc.ac.uk/collection/P06/current/FGKG/
SDN:P06::MGPG,Milligrams per gram,mg/g,false,http://vocab.nerc.ac.uk/collection/P06/current/MGPG/
SDN:P06::NGPG,Nanograms per gram,ng/g,false,http://vocab.nerc.ac.uk/collection/P06/current/NGPG/
SDN:P06::NGKG,Nanograms per kilogram,ng/kg,false,http://vocab.nerc.ac.uk/collection/P06/current/NGKG/
SDN:P06::UMKG,Milligrams per kilogram,mg/kg,false,http://vocab.nerc.ac.uk/collection/P06/current/UMKG/
SDN:P06::UGGR,Micrograms per gram,ug/g,false,http://vocab.nerc.ac.uk/collection/P06/current/UGGR/
SDN:P06::PGPG,Picograms per gram,pg/g,false,http://vocab.nerc.ac.uk/collection/P06/current/PGPG/
SDN:P06::MILM,Square millimetres,mm^2,false,http://vocab.nerc.ac.uk/collection/P06/current/MILM/
SDN:P06::SQKM,Square kilometres,km^2,false,http://vocab.nerc.ac.uk/collection/P06/current/SQKM/
SDN:P06::SQCM,Square centimetres,cm^2,false,http://vocab.nerc.ac.uk/collection/P06/current/SQCM/
SDN:P06::HCTR,Hectares,ha,false,http://vocab.nerc.ac.uk/collection/P06/current/HCTR/
SDN:P06::UCMS,Square centimetres per second,cm^2/s,false,http://vocab.nerc.ac.uk/collection/P06/current/UCMS/
SDN:P06::UCST,Centistokes,cSt,false,http://vocab.nerc.ac.uk/collection/P06/current/UCST/
SDN:P06::VVML,Millilitres,ml,false,http://vocab.nerc.ac.uk/collection/P06/current/VVML/
SDN:P06::VVCC,Cubic centimetres,cm^3,false,http://vocab.nerc.ac.uk/collection/P06/current/VVCC/
SDN:P06::ULIT,Litres,l,false,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/
SDN:P06::UMCU,Cubic micrometres (microns),um^3,false,http://vocab.nerc.ac.uk/collection/P06/current/UMCU/
SDN:P06::NHTR,Number per hectare,#/ha,false,http://vocab.nerc.ac.uk/collection/P06/current/NHTR/
SDN:P06::NPKM,Number per square kilometre,#/km^2,false,http://vocab.nerc.ac.uk/collection/P06/current/NPKM/
SDN:P06::UVCC,Millimetres per second,mm/s,false,http://vocab.nerc.ac.uk/collection/P06/current/UVCC/
SDN:P06::UMMM,Millimetres per minute,mm/min,false,http://vocab.nerc.ac.uk/collection/P06/current/UMMM/
SDN:P06::MMPH,Millimetres per hour,mm/h,false,http://vocab.nerc.ac.uk/collection/P06/current/MMPH/
SDN:P06::UVBB,Centimetres per second,cm/s,false,http://vocab.nerc.ac.uk/collection/P06/current/UVBB/
SDN:P06::MMPD,Millimetres per day,mm/d,false,http://vocab.nerc.ac.uk/collection/P06/current/MMPD/
SDN:P06::KMDY,Kilometres per day,km/d,false,http://vocab.nerc.ac.uk/collection/P06/current/KMDY/
SDN:P06::KMHR,Kilometres per hour,km/hr,false,http://vocab.nerc.ac.uk/collection/P06/current/KMHR/
SDN:P06::MMPY,Millimetres per year,mm/yr,false,http://vocab.nerc.ac.uk/collection/P06/current/MMPY/
SDN:P06::UKNT,Knots (nautical miles per hour),Knots,false,http://vocab.nerc.ac.uk/collection/P06/current/UKNT/
SDN:P06::UCKA,Centimetres per thousand years,cm/kyr,false,http://vocab.nerc.ac.uk/collection/P06/current/UCKA/
